Timestamp,SRRL BMS Global Horizontal Irradiance (W/m²_irr),SRRL BMS Direct Normal Irradiance (W/m²_irr),SRRL BMS Diffuse Horizontal Irradiance (W/m²_irr),SRRL BMS Dry Bulb Temperature (°C),SRRL BMS Wind Speed at 19' (m/s),Avg Wind Speed @ 10m [m/s],Peak Wind Speed @ 2m [m/s],Peak Wind Speed @ 10m [m/s]
2024-06-24 10:59:08-06:00,735.6324,434.0192666666666,314.84813333333335,30.754666666666665,3.5436,4.2842,4.428533333333333,5.378066666666666
2024-06-24 10:59:08.500000-06:00,735.2781749999999,433.8046583333333,314.72789166666666,30.755583333333334,3.5382,4.279275,4.423316666666667,5.374008333333333
2024-06-24 10:59:09-06:00,734.92395,433.59004999999996,314.60765,30.7565,3.5328,4.27435,4.4181,5.369949999999999
2024-06-24 10:59:09.500000-06:00,734.569725,433.37544166666663,314.48740833333335,30.757416666666664,3.5274,4.269425,4.412883333333333,5.365891666666666
2024-06-24 10:59:10-06:00,734.2155,433.1608333333333,314.36716666666666,30.758333333333333,3.522,4.2645,4.407666666666667,5.361833333333333
2024-06-24 10:59:10.500000-06:00,733.861275,432.94622499999997,314.246925,30.759249999999998,3.5166,4.259575,4.40245,5.357775
2024-06-24 10:59:11-06:00,733.5070499999999,432.73161666666664,314.12668333333335,30.760166666666667,3.5112,4.254650000000001,4.397233333333333,5.353716666666666
2024-06-24 10:59:11.500000-06:00,733.152825,432.5170083333333,314.00644166666666,30.761083333333332,3.5058,4.249725000000001,4.392016666666667,5.349658333333333
2024-06-24 10:59:12-06:00,732.7986,432.3024,313.8862,30.762,3.5004,4.244800000000001,4.3868,5.3456
2024-06-24 10:59:12.500000-06:00,732.4443749999999,432.08779166666665,313.76595833333334,30.762916666666666,3.495,4.2398750000000005,4.381583333333333,5.341541666666666
2024-06-24 10:59:13-06:00,732.09015,431.8731833333333,313.64571666666666,30.76383333333333,3.4896,4.23495,4.376366666666667,5.337483333333333
2024-06-24 10:59:13.500000-06:00,731.735925,431.658575,313.525475,30.76475,3.4842,4.230025,4.37115,5.333425
2024-06-24 10:59:14-06:00,731.3816999999999,431.44396666666665,313.40523333333334,30.765666666666664,3.4788,4.2251,4.365933333333333,5.329366666666666
